Mã UC,Tên Use Case,Mô tả ngắn,Ưu tiên,Tình trạng hiện tại,Công việc cần làm
UC-01a,Tạo mới CTĐT,"Tạo mới CTĐT, kiểm tra hợp lệ, sinh mã",P1,"Đã có model, view, form, URL",Kiểm thử toàn bộ luồng; bổ sung validate nâng cao và log thao tác
UC-01b,Cập nhật CTĐT,Cập nhật thông tin & tạo phiên bản mới,P1,Đã có; chưa thấy UI so sánh phiên bản khi update,Hoàn thiện tính năng so sánh; thêm cảnh báo khi thay đổi lớn
UC-02,Quản lý CĐR,"Xây dựng, khảo sát, phê duyệt CĐR",P1,"Có model PLO, CLO; chưa có khảo sát/phê duyệt",Phát triển module khảo sát; thêm quy trình phê duyệt CĐR
UC-03,Quản lý học phần,"CRUD học phần, cập nhật cấu trúc & tín chỉ",P1,Đã có đầy đủ,"Rà soát nghiệp vụ, đồng bộ với CTĐT"
UC-04,Quản lý đề cương học phần,"Tạo, cập nhật, phê duyệt, quản lý phiên bản đề cương",P1,Có model DeCuongHocPhan; phê duyệt chưa đủ bước,Thêm workflow phê duyệt; tracking phiên bản
UC-05,Quản lý phiên bản CTĐT,"Tạo, so sánh, khôi phục phiên bản",P1,Có trường version; UI so sánh chưa hoàn thiện,Xây UI so sánh; log thay đổi; chức năng khôi phục phiên bản
UC-06,Quản lý Hội đồng và Thẩm định,"Thành lập HĐ, họp, thẩm định CTĐT",P1,Chưa thấy trong code,"Xây toàn bộ module: model HĐ, luồng thành lập → họp → thẩm định"
UC-07,Quản lý Minh chứng & Tài liệu,"Upload, phân loại, phân quyền",P1,Chưa có,"Thiết kế model file storage, phân loại, quyền truy cập; UI upload/download"
UC-08,Quản lý Quy trình Phê duyệt,"Trình phê duyệt CTĐT, xử lý phản hồi, ban hành QĐ",P1,Mới có trường trạng thái phê duyệt,Xây chi tiết các bước duyệt; log phản hồi; ban hành quyết định
UC-09,Quản lý Báo cáo & Thống kê,"Báo cáo tổng hợp, tiến độ mở ngành",P2,Chưa có module báo cáo tổng hợp,"Tạo báo cáo dashboard, xuất PDF/Excel, biểu đồ"
UC-09/10,Quản lý Người dùng & Phân quyền,"Tài khoản, vai trò, quyền hạn, audit",P1,Django admin + User model,Tích hợp UI phân quyền chi tiết; audit log thao tác
